"TPR","TNR","FDR","F1","MCC","alpha_bias","fp_bias","MSE_theta","exact_match","method","rep","scenario"
1,1,0,1,1,0.0643482816005285,0,0.00482814802141779,1,"scad_pool",10,"S01_base"
1,1,0,1,1,0.063745913666322,0,0.00481057746687063,1,"mcp_pool",10,"S01_base"
1,0.886363636363636,0.454545454545455,0.705882352941177,0.695320842762652,0.199310537785829,0.00143157972027475,0.0276116688405641,0,"scad",11,"S01_base"
1,0.931818181818182,0.333333333333333,0.8,0.788170109311512,0.193144152331805,0.00162292574832382,0.028579651343884,0,"mcp",11,"S01_base"
1,0.863636363636364,0.5,0.666666666666667,0.657128740672771,0.33322041000086,0.00198288846871266,0.0180122640296535,0,"lasso",11,"S01_base"
1,0.659090909090909,0.714285714285714,0.444444444444444,0.433948946665029,0.305564103476988,0.00521892442545148,0.0162568102450289,0,"enet",11,"S01_base"
1,0.863636363636364,0.5,0.666666666666667,0.657128740672771,0.192194160239184,0.00239193738653498,0.0100081522797332,0,"scad_pool",11,"S01_base"
1,0.954545454545455,0.25,0.857142857142857,0.846114112226649,0.199240229983046,0.000663352543277281,0.0102358498370584,0,"mcp_pool",11,"S01_base"
1,0.931818181818182,0.333333333333333,0.8,0.788170109311512,0.0710578559299888,0.00137195290756285,0.0616361837367704,0,"scad",12,"S01_base"
1,0.977272727272727,0.142857142857143,0.923076923076923,0.915238951128249,0.0705130262198225,0.000277714057110772,0.0602609245878485,0,"mcp",12,"S01_base"
1,0.75,0.647058823529412,0.521739130434783,0.514495755427526,0.125204355652715,0.0047747716665328,0.0102893708515094,0,"lasso",12,"S01_base"
1,0.772727272727273,0.625,0.545454545454545,0.538305421923955,0.184476314054332,0.00428596456108777,0.013621288050835,0,"enet",12,"S01_base"
1,0.931818181818182,0.333333333333333,0.8,0.788170109311512,0.0710578559299888,0.00137195290756285,0.00599060719866521,0,"scad_pool",12,"S01_base"
1,0.977272727272727,0.142857142857143,0.923076923076923,0.915238951128249,0.0708885570504211,0.000456700438581695,0.00597338512519993,0,"mcp_pool",12,"S01_base"
1,0.863636363636364,0.5,0.666666666666667,0.657128740672771,0.0403797416009123,0.00236367022756282,0.0534932496679074,0,"scad",13,"S01_base"
1,0.931818181818182,0.333333333333333,0.8,0.788170109311512,0.0401528916575051,0.0010480445703835,0.0536074350600219,0,"mcp",13,"S01_base"
